feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23,class
13,112,3,23,8,0,0,0,0,0,0,0,3,0,2,1,0,0,2,0,2,6,0,0
14,112,4,23,18,0,0,0,1,1,0,0,6,1,2,1,3,1,5,1,4,8,1,0
15,112,4,23,4,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,1,1,1,0
16,112,4,23,22,0,0,0,2,2,8,1,7,1,0,0,3,1,7,1,3,9,3,0
17,112,4,23,13,0,0,0,0,1,0,0,2,1,2,4,1,2,2,1,3,12,1,0
18,112,4,23,13,0,0,0,0,0,2,0,4,1,1,2,1,0,3,1,2,5,1,0
19,112,4,23,22,0,0,0,1,1,0,0,4,3,3,1,3,0,4,3,4,12,1,0
20,112,4,23,16,0,0,0,0,0,0,0,4,1,4,2,0,2,3,1,3,8,0,0
21,112,5,23,12,0,0,0,2,2,1,1,2,2,2,1,2,0,2,2,4,10,2,0
22,112,5,23,21,0,1,1,0,0,3,3,10,1,0,0,4,0,6,1,3,7,1,0
